Unnamed: 0,C_norm,Db_norm,D_norm,Eb_norm,E_norm,F_norm,Gb_norm,G_norm,Ab_norm,A_norm,Bb_norm,B_norm
Cdim_aka_Oboe.ogg,1.0,0.213518450655461,0.02504076800023009,0.3037862527728051,0.9304868807889661,0.10164970145968003,0.14816332675911706,0.09670832678043748,0.018798476275089022,0.06040185053778895,0.01855757243656776,0.12931950799812816
Bmin7_ruchenitza_2_Oboe.ogg,0.13680154178515266,0.01982376038213415,0.3291209569292804,1.0,0.07914657657503085,0.06687608726139928,0.4301802566260159,0.05485550799538091,0.021927945713765662,0.1349138004989094,0.14582588910505642,0.9503763080705754
Bmaj7_pictures_at_an_exhibition_Harp.ogg,0.16540432899886062,0.00853079415060093,0.042700766194330414,0.21950862185361242,0.035154573713425244,0.016042990739099955,0.0772327314161424,0.012232984539604731,0.0017671029261519132,0.005452763784216691,0.14269133765259207,1.0
Abmaj7_agogo-samba_Mandolin.ogg,0.2895534548031409,0.05624168078325313,0.18491911424314383,0.885092969130136,0.12468574939519808,0.029595789882404723,0.10489570433853894,0.590303872044891,1.0,0.13417165221592348,0.05251765951768289,0.05497115441963079
G7_bossa-nova_Clarinet.ogg,0.29501562254626634,0.21272303333470094,0.5748136754047289,0.19245369030928186,0.31886317238491235,0.7254875988744127,1.0,0.34284211855450597,0.14317141181909113,0.3859103608217523,0.1940065942212495,0.4117616604959318
Fdim_spanish_tango_Piccolo.ogg,0.08494191913379216,0.05086398890606001,0.41077188659155645,0.07006956003204218,0.1256790509544967,1.0,0.15979937432549096,0.08529504282771294,0.7013017599829541,0.12119026144117681,0.059960236763968826,0.48236568710118694
Abmin7_ngbaka-maibo_Bassoon.ogg,0.9775646679602932,0.06422858258315715,0.05200769705914719,0.2786416147732218,0.05304515697432968,0.020630483580915893,0.12836100031354497,0.22186271153917406,1.0,0.11752173110006729,0.04372339084238531,0.7591228593089955
Ebmin7_fandango_Organ.ogg,0.01057071814034924,0.07366049532014898,0.106097392979768,1.0,0.2343051059979021,0.09168462521810686,0.2615092904519315,0.0650508013833166,0.03908550445589586,0.07149382676343463,0.7634410121385059,0.18970933793240805
Fmin7_venda_Bassoon.ogg,0.5141672235634366,0.08373045275280981,0.01600059616950539,0.06429584816827869,0.03086350095584977,0.10380392688124505,0.014682576943006861,0.05551495915976643,0.625295419664784,1.0,0.06617999602923222,0.08202782935966593
Bbdim_samba_Banjo.ogg,0.3259511279411235,0.6562812026621643,0.8564285180524843,0.40131444682915635,0.8392644388906053,0.6722904464608223,0.21924197434413775,0.3742092508876287,1.0,0.3089343321961138,0.549263322560412,0.9775360930014502
