Measure,AllBlues 1,chord_note,Time
1,G7,G,0.0
5,G7,G,6.0
6,G7,G,7.5
7,G7,G,9.0
9,C7,C,12.0
10,C7,C,13.5
11,G7,G,15.0
12,G7,G,16.5
13,D7(#9),D,18.0
14,Eb7(#9),Eb,19.5
14,D7,D,20.25
15,G7,G,21.0
16,G7,G,22.5
17,G7,G,24.0
