Measure,sticksc,Time
2,Bb7,2.0
6,Eb7,10.0
8,Bb7,14.0
10,Eb7,18.0
10,E7,18.4
10,E7,18.8
10,F7,19.2
10,F7,19.6
12,Eb7,22.0
12,E7,22.4
12,E7,22.8
12,F7,23.2
12,F7,23.6
14,Bb7,26.0
