Measure,My Groove Your Move,chord_note,Time
2,Gmin9,G,2.0
5,G7,G,8.0
6,Cmin7,C,10.0
8,D7,D,14.0
8,A7,A,14.666666666666666
8,D7,D,15.333333333333334
9,G,G,16.0
10,Cmin7,C,18.0
10,Bbmin7,Bb,19.0
11,Amin7(b5),A,20.0
11,D7,D,21.0
12,Gmin7,G,22.0
12,Emin7(b5),E,23.0
13,Adim,A,24.0
13,D7,D,25.0
14,Gmin7,G,26.0
15,Gmin7,G,28.0
16,Cmin7,C,30.0
16,F7,F,31.0
17,Bb9,Bb,32.0
17,Eb9(0#3),Eb,33.0
18,Amin,A,34.0
18,D7,D,34.666666666666664
18,Gmin7,G,35.333333333333336
19,Gmin7,G,36.0
20,Cmin7,C,38.0
20,F7,F,39.0
21,Bb7,Bb,40.0
21,Eb7,Eb,41.0
22,Amin,A,42.0
22,D7,D,43.0
23,Gmin7,G,44.0
24,Gmin7,G,46.0
24,G7,G,47.0
28,Cmin7,C,54.0
30,D7,D,58.0
30,A7,A,59.0
31,D7,D,60.0
32,Cmin,C,62.0
32,Bmin9,B,63.0
33,Amin13,A,64.0
33,D7,D,65.0
34,G7,G,66.0
34,E7(#9),E,67.0
35,Amin(maj7),A,68.0
35,D7,D,69.0
