Measure,NoProblem,Time
1,Cmin7,0.0
2,Cmin(maj7),2.0
3,Cmin,4.0
4,Amin7,6.0
5,Fmin7,8.0
6,B-17,10.0
7,E-17,12.0
8,E-17,14.0
9,D7,16.0
10,G7,18.0
11,Cmin7,20.0
13,Dmin7,24.0
14,G7,26.0
15,Cmin(maj7),28.0
18,Gmin7,34.0
19,C7,36.0
20,Gmin7,38.0
21,C7,40.0
22,Fmin7,42.0
23,B-17,44.0
24,Dmin7,46.0
25,G7,48.0
26,Cmin7,50.0
27,Cmin(maj7),52.0
28,Cmin,54.0
29,Amin7,56.0
30,Fmin7,58.0
31,B-17,60.0
32,E-17,62.0
33,E-17,64.0
34,D7,66.0
35,G7,68.0
36,Cmin7,70.0
38,Dmin7,74.0
39,G7,76.0
40,Cmin(maj7),78.0
