Measure,PutItWhere,Time
1,C7,0.0
16,C7,30.0
17,D9,32.0
18,F9,34.0
19,C7,36.0
20,C7,38.0
20,E7,39.0
21,D9,40.0
22,F9,42.0
23,C7,44.0
24,C7,46.0
25,C7,48.0
26,Amin7,50.0
27,C7/G,52.0
28,F7,54.0
29,D7,56.0
30,C7,58.0
31,F7,60.0
