Measure,AirmailSpecial,chord_note,Time
1,C,C,0.0
9,Cdim7,C,16.0
11,Cdim7,C,20.0
13,Cdim7,C,24.0
13,Bdim7,B,25.0
14,Bbdim7,Bb,26.0
15,Ab7,Ab,28.0
16,G7,G,30.0
17,C,C,32.0
25,C,C,48.0
25,C/E,C,49.0
26,F,F,50.0
26,G,G,51.0
27,C,C,52.0
27,C/E,C,53.0
28,F,F,54.0
28,G,G,55.0
29,C,C,56.0
29,C7,C,57.0
30,F,F,58.0
30,F#dim7,F#,59.0
31,C/G,C,60.0
32,C,C,62.0
33,Cdim7,C,64.0
35,Cdim7,C,68.0
44,C,C,86.0
