Measure,YardbirdSuite,chord_note,Time
9,Cmaj7,C,16.0
10,Fmin7,F,18.0
10,Bb7,Bb,19.0
11,Cmaj7,C,20.0
11,Bb7,Bb,21.0
12,A7,A,22.0
13,D7,D,24.0
14,G7,G,26.0
15,Emin7,E,28.0
15,A7,A,29.0
16,Dmin7,D,30.0
16,G7,G,31.0
17,G7,G,32.0
18,Cmaj7,C,34.0
19,Cmaj7,C,36.0
19,B7,B,37.0
20,Emin7,E,38.0
21,F#min7(b5),F#,40.0
21,B7,B,41.0
22,Emin7,E,42.0
23,A7,A,44.0
24,Dmin7,D,46.0
25,Emin7,E,48.0
25,A7,A,49.0
26,D7,D,50.0
27,Dmin7,D,52.0
27,G7,G,53.0
28,Cmaj7,C,54.0
29,Fmin7,F,56.0
29,Bb7,Bb,57.0
30,Cmaj7,C,58.0
30,Bb7,Bb,59.0
31,A7,A,60.0
32,D7,D,62.0
33,Dmin7,D,64.0
33,G7,G,65.0
34,Cmaj7,C,66.0
35,Dmin7,D,68.0
35,G7,G,69.0
