Measure,Twistin',chord_note,Time
5,A,A,8.0
7,F#min7,F#,12.0
9,D7,D,16.0
11,E7,E,20.0
13,A,A,24.0
15,F#min7,F#,28.0
17,D7,D,32.0
19,E7,E,36.0
21,A,A,40.0
23,F#min7,F#,44.0
25,D7,D,48.0
27,E7,E,52.0
28,A7,A,54.0
30,A7,A,58.0
31,A,A,60.0
33,F#min7,F#,64.0
35,D7,D,68.0
37,E7,E,72.0
39,A,A,76.0
41,F#min,F#,80.0
43,D7,D,84.0
45,E7,E,88.0
46,A,A,90.0
