Measure,Clockwise,chord_note,Time
1,G,G,0.0
4,Db13,Db,6.0
6,D7(#9),D,10.0
7,G7,G,12.0
8,G7,G,14.0
9,G7,G,16.0
10,G7,G,18.0
11,C7,C,20.0
12,C#dim7,C#,22.0
14,Edim7,E,26.0
15,Amin7,A,28.0
16,D7,D,30.0
17,G7,G,32.0
18,Ab13,Ab,34.0
19,G7,G,36.0
20,G7,G,38.0
21,G7,G,40.0
22,Db13,Db,42.0
23,C7,C,44.0
24,C7,C,46.0
25,G7,G,48.0
26,G7,G,50.0
27,Amin7,A,52.0
28,D7,D,54.0
29,G7,G,56.0
30,D7,D,58.0
31,G7,G,60.0
32,G7,G,62.0
33,G7,G,64.0
34,G7,G,66.0
34,Db13,Db,67.0
35,C7,C,68.0
36,C7,C,70.0
37,G7,G,72.0
38,G7,G,74.0
39,Amin7,A,76.0
40,D7,D,78.0
41,G7,G,80.0
42,D7,D,82.0
