Measure,Broski,chord_note,Time
1,F7,F,0.0
6,Bbmin11,Bb,10.0
7,F,F,12.0
8,B13,B,14.0
10,B/D,B,18.0
11,F,F,20.0
13,F7,F,24.0
15,Eb7,Eb,28.0
15,E7,E,29.0
16,F7,F,30.0
17,Abmaj7,Ab,32.0
18,Bb7,Bb,34.0
19,F7,F,36.0
21,C7,C,40.0
22,Db7,Db,42.0
22,C7,C,43.0
23,F7,F,44.0
24,C7,C,46.0
