Measure,Eddie Who,chord_note,Time
1,Bb,Bb,0.0
1,E7(b5),E,1.0
2,Eb7,Eb,2.0
2,C7,C,2.6666666666666665
2,F,F,3.333333333333333
3,Bb,Bb,4.0
3,E7(b5),E,5.0
4,Eb7,Eb,6.0
4,C7,C,6.666666666666667
4,F,F,7.333333333333333
