Measure,SummerSamba,chord_note,Time
1,Cmaj7,C,0.0
3,F#min7,F#,4.0
4,B7,B,6.0
5,Fmaj7,F,8.0
7,Bb7,Bb,12.0
9,Emin7,E,16.0
10,A7,A,18.0
11,Dmin7,D,20.0
12,Bmin7(b5),B,22.0
12,E7,E,23.0
13,Amin7,A,24.0
14,D7,D,26.0
15,Dmin7,D,28.0
16,Ab7,Ab,30.0
16,G7,G,31.0
17,D7,D,32.0
18,G7,G,34.0
19,Cmaj7,C,36.0
20,F7,F,38.0
21,Cmaj7,C,40.0
22,Dmi7,D,42.0
22,G7,G,43.0
