Measure,BigBlues,chord_note,Time
1,F7(#9),F,0.0
2,Bb13,Bb,2.0
3,F7(#9),F,4.0
5,Bb13,Bb,8.0
7,F7(#9),F,12.0
9,C7(#9),C,16.0
10,Bb13,Bb,18.0
11,F7(#9),F,20.0
12,C7(#9),C,22.0
13,G7(#9),G,24.0
14,C13,C,26.0
15,G7(#9),G,28.0
17,C13,C,32.0
19,G7(#9),G,36.0
21,D7(#9),D,40.0
22,C13,C,42.0
23,G7(#9),G,44.0
24,D7(#9),D,46.0
25,D7(#9),D,48.0
26,G13,G,50.0
27,D7(#9),D,52.0
29,G13,G,56.0
31,D7(#9),D,60.0
33,A7(#9),A,64.0
34,G13,G,66.0
35,D7(#9),D,68.0
36,A7(#9),A,70.0
