Measure,Sookie,Time
1,Db,0.0
1,B,1.0
2,Ab,2.0
3,Eb7(#9),4.0
10,Eb7(#9),18.0
21,Db,40.0
21,B,41.0
22,Ab,42.0
23,Eb7(#9),44.0
