Measure,VivaDeFunk,chord_note,Time
1,Amin7,A,0.0
2,D7,D,2.0
3,Amin7,A,4.0
4,D7,D,6.0
5,D7,D,8.0
6,Amin7,A,10.0
7,D7,D,12.0
8,Amin7,A,14.0
9,D7,D,16.0
10,Amin7,A,18.0
11,D7,D,20.0
12,Amin7,A,22.0
13,D7,D,24.0
14,Amin7,A,26.0
15,D7,D,28.0
16,Amin7,A,30.0
17,D7,D,32.0
18,Amin7,A,34.0
19,D7,D,36.0
20,Amin7,A,38.0
21,D7,D,40.0
22,D7,D,42.0
22,Dmin7,D,42.666666666666664
22,Emin7,E,43.333333333333336
23,Fmaj7,F,44.0
24,E7,E,46.0
25,Amin7,A,48.0
26,D7,D,50.0
27,Gmin7,G,52.0
28,Gmin7/C,G,54.0
29,F7,F,56.0
30,E7,E,58.0
31,Amin7,A,60.0
32,D7,D,62.0
33,Amin7,A,64.0
34,D7,D,66.0
35,Amin7,A,68.0
36,D7,D,70.0
