Measure,A Little Busy,chord_note,Time
1,F7,F,0.0
2,F,F,2.0
2,Eb,Eb,2.5
2,D,D,3.0
2,C,C,3.5
4,F7,F,6.0
11,Eb,Eb,20.0
11,E,E,20.666666666666668
11,F,F,21.333333333333332
12,Bb7(#9),Bb,22.0
15,Ab,Ab,28.0
15,G,G,28.666666666666668
15,D,D,29.333333333333332
16,Eb9,Eb,30.0
18,Bbmin7,Bb,34.0
19,F,F,36.0
19,Bb,Bb,36.666666666666664
19,B,B,37.333333333333336
20,C13,C,38.0
22,Bb7(#9),Bb,42.0
24,F7,F,46.0
33,F7,F,64.0
40,F7,F,78.0
56,Bb7,Bb,110.0
60,Eb7,Eb,118.0
62,Dmin7,D,122.0
62,G7,G,123.0
64,Cmin7,C,126.0
65,F7,F,128.0
66,Bbmaj7,Bb,130.0
