Measure,Toad's Place,Time
1,F9,0.0
1,B-17,0.5
1,E9,1.0
1,E-19,1.5
2,E9,2.0
3,F9,4.0
3,B-17,4.5
3,E9,5.0
3,E-19,5.5
5,F9,8.0
5,B-17,8.666666666666666
5,E9,9.333333333333334
6,E-19,10.0
7,F9,12.0
7,B-17,12.5
7,E9,13.0
7,E-19,13.5
9,F9,16.0
9,B-17,16.666666666666668
9,E9,17.333333333333332
10,E-19,18.0
11,F9,20.0
11,B-17,20.5
11,E9,21.0
11,E-19,21.5
13,F9,24.0
13,B-17,24.666666666666668
13,E9,25.333333333333332
14,E-19,26.0
15,F9,28.0
15,B-17,28.5
15,E9,29.0
15,E-19,29.5
17,F9,32.0
17,B-17,32.666666666666664
17,E9,33.333333333333336
18,E-19,34.0
18,E-19,35.0
19,D9,36.0
20,G7,38.0
21,Amin7,40.0
22,D9,42.0
22,A-1min7,43.0
23,Gmin7,44.0
24,B-17,46.0
24,B7,46.666666666666664
24,C7,47.333333333333336
25,F9,48.0
25,B-17,48.5
25,E9,49.0
25,E-19,49.5
26,E9,50.0
27,F9,52.0
27,B-17,52.5
27,E9,53.0
27,E-19,53.5
28,E9,54.0
29,F9,56.0
29,E-19,57.0
53,D9,104.0
54,G7,106.0
55,Amin7,108.0
56,D9,110.0
56,A-1min7,110.66666666666667
56,Gmin7,111.33333333333333
58,B-17,114.0
58,B7,114.66666666666667
58,C7,115.33333333333333
