Measure,JigAJugC,chord_note,Time
7,G7,G,12.0
8,C7,C,14.0
16,D#min7,D#,30.0
16,Dmin7,D,30.5
16,C#min7,C#,31.0
16,Cmin7,C,31.5
17,Cmin7,C,32.0
19,G7,G,36.0
20,C7,C,38.0
22,D#min7,D#,42.0
22,Dmin7,D,42.5
22,C#min7,C#,43.0
22,Cmin7,C,43.5
24,G9,G,46.0
26,Fmaj7,F,50.0
28,G9,G,54.0
30,Fmaj7,F,58.0
32,G9,G,62.0
34,D#min7,D#,66.0
34,Dmin7,D,66.5
34,C#min7,C#,67.0
34,Cmin7,C,67.5
35,C,C,68.0
41,C7,C,80.0
45,F7,F,88.0
47,C7,C,92.0
49,Dmin7,D,96.0
50,G7,G,98.0
51,C7,C,100.0
51,A7,A,101.0
52,Dmin7,D,102.0
52,G7,G,103.0
