Measure,BluesInH,chord_note,Time
1,B13,B,0.0
2,E7,E,2.0
3,B13,B,4.0
4,B13,B,6.0
5,E9,E,8.0
6,E7,E,10.0
7,B13,B,12.0
8,B13,B,14.0
9,E9,E,16.0
10,C#min7,C#,18.0
10,F#7sus(07),F#,19.0
11,B7,B,20.0
11,E7,E,20.666666666666668
11,Fdim,F,21.333333333333332
12,B7,B,22.0
12,F#9,F#,23.0
