Measure,Black Ice,chord_note,Time
1,B7,B,0.0
2,Emin9,E,2.0
2,Fmaj7,F,3.0
3,Emin7,E,4.0
3,A13,A,5.0
4,Emin7,E,6.0
4,F6,F,7.0
5,Emin7,E,8.0
5,A13,A,9.0
6,A13,A,10.0
7,Emin7,E,12.0
7,F7,F,13.0
8,Emin7,E,14.0
8,A13,A,15.0
9,Emin7,E,16.0
9,Fmaj7,F,17.0
10,Emin9,E,18.0
10,A13,A,19.0
11,Emin9,E,20.0
11,Fmaj7,F,21.0
12,Emin9,E,22.0
12,A13,A,23.0
13,Emin9,E,24.0
13,F6,F,25.0
14,Emin9,E,26.0
14,A13,A,27.0
15,Emin7,E,28.0
15,Dmin9,D,28.666666666666668
15,G13,G,29.333333333333332
16,Cmaj7,C,30.0
16,B7,B,31.0
17,Dmin7,D,32.0
17,G7,G,32.5
17,Cmaj7,C,33.0
17,Eb,Eb,33.5
18,Bbmaj9,Bb,34.0
18,Ab13,Ab,34.666666666666664
18,G7,G,35.333333333333336
19,F#min11,F#,36.0
20,C#9,C#,38.0
21,F#min11,F#,40.0
22,C#9,C#,42.0
23,F#min,F#,44.0
24,C#9,C#,46.0
25,F#min11,F#,48.0
26,G,G,50.0
26,B7,B,51.0
27,Emin,E,52.0
27,F6,F,53.0
28,Emin7,E,54.0
28,A13,A,55.0
29,Emin7,E,56.0
29,F6,F,57.0
30,Emin6,E,58.0
30,A13,A,59.0
31,Emin9,E,60.0
31,F6,F,61.0
32,Emin9,E,62.0
32,A13,A,63.0
33,Emin9,E,64.0
33,F6,F,65.0
34,Emin9,E,66.0
34,A13,A,67.0
35,Emin9,E,68.0
35,F6,F,69.0
36,Emin9,E,70.0
36,A13,A,71.0
37,Emin9,E,72.0
37,A13,A,73.0
38,Emin7,E,74.0
38,Dmin9,D,74.66666666666667
38,G13,G,75.33333333333333
39,Cmaj7,C,76.0
39,B7,B,77.0
40,Dmin7,D,78.0
40,G7,G,78.5
40,C6,C,79.0
40,Eb,Eb,79.5
41,Bbmaj7,Bb,80.0
41,Ab13,Ab,80.66666666666667
41,G7,G,81.33333333333333
42,F#min11,F#,82.0
43,C#9,C#,84.0
56,F#min11,F#,110.0
57,B7,B,112.0
58,F#min11,F#,114.0
59,C#9,C#,116.0
60,F#min11,F#,118.0
61,G,G,120.0
61,B7,B,121.0
