Measure,MoonRiver,chord_note,Time
1,Cmaj7,C,0.0
2,Amin7,A,1.5
3,F7(#11),F,3.0
4,Cmaj7,C,4.5
5,F7,F,6.0
6,Cmaj7,C,7.5
7,Bmin7(b5),B,9.0
8,E7,E,10.5
9,Amin7,A,12.0
10,C7/G,C,13.5
11,Fmaj7,F,15.0
12,Bb7,Bb,16.5
13,Amin7,A,18.0
13,Amin7/G,A,18.75
14,F#min7,F#,19.5
14,B7,B,20.25
15,Emin7,E,21.0
15,A7,A,21.75
16,Dmin,D,22.5
16,G7,G,23.25
17,Amin7,A,24.0
18,Amin7/G,A,25.5
19,F#min7(b5),F#,27.0
20,F7,F,28.5
21,Cmaj7,C,30.0
22,Fmaj7,F,31.5
23,Cmaj7,C,33.0
24,Fmaj,F,34.5
25,Emin7,E,36.0
26,Amin7,A,37.5
27,Dmin7,D,39.0
28,G7,G,40.5
29,Cmaj7,C,42.0
30,Dmin7,D,43.5
30,G7,G,44.25
