Measure,JungleJuice,chord_note,Time
1,Emin7,E,0.0
3,Emin7,E,5.0
9,C7,C,20.0
11,Emin7,E,25.0
13,Emin7,E,30.0
17,Amin7,A,40.0
19,Emin7,E,45.0
21,Dbmin11,Db,50.0
22,Ebmin11,Eb,52.5
23,Fmin11,F,55.0
24,Gmin11,G,57.5
25,Emin7,E,60.0
35,C7,C,85.0
37,Emin7,E,90.0
39,Emin7,E,95.0
