Measure,Its your thing,Time
1,F7(#9),0.0
2,Bb7,2.0
3,F7(#9),4.0
4,Bb7,6.0
14,F7(#9),26.0
22,F7(#9),42.0
23,Bb7,44.0
26,F7(#9),50.0
27,Bb7,52.0
28,F7(#9),54.0
29,Bb7,56.0
