Measure,MrMagicII,Time
1,Cmin7,0.0
1,F7,1.0
9,Cmin7,16.0
10,F7,18.0
11,Cmin7,20.0
12,F7,22.0
13,Cmin7,24.0
14,F7,26.0
15,Bb7,28.0
16,Cmin7,30.0
17,Bbmin7,32.0
17,Eb7,33.0
18,Ab,34.0
18,G7,35.0
19,Cmin7,36.0
20,F7,38.0
21,Ebmaj7,40.0
22,Abmaj7,42.0
23,Ebmaj7,44.0
24,Abma7,46.0
25,Ebma7,48.0
26,G7,50.0
27,Cmin7,52.0
28,F7,54.0
29,Cmin7,56.0
30,F7,58.0
31,G7,60.0
32,Cmin7,62.0
33,F7,64.0
34,Cmin7,66.0
35,F7,68.0
