Measure,MoxNix,chord_note,Time
1,Dmin7,D,0.0
5,Dmin7,D,8.0
10,Gmin11,G,18.0
12,Dmin7,D,22.0
14,Bb9,Bb,26.0
15,A7(#9),A,28.0
15,Dmin7,D,29.0
16,Dmin7,D,30.0
18,Dmin7/C,D,34.0
18,Emin7,E,35.0
19,A7,A,36.0
19,D7,D,37.0
20,Emin7,E,38.0
20,F6,F,39.0
21,Adim7,A,40.0
21,Gmin7,G,41.0
22,Gmin/F,G,42.0
22,Emin11,E,43.0
23,A7,A,44.0
24,Dmin7,D,46.0
25,Bb9,Bb,48.0
27,A7,A,52.0
28,Emin7,E,54.0
28,B7,B,55.0
29,Dmin7,D,56.0
30,Dmin7,D,58.0
34,Gmin7,G,66.0
36,Dmin7,D,70.0
38,Bb7,Bb,74.0
39,A7,A,76.0
40,Dmin7,D,78.0
