Measure,ListenHereNew,Time
1,B-17,0.0
2,E-17,2.0
3,B-17,4.0
4,E-17,6.0
5,B-17,8.0
6,E-17,10.0
7,B-17,12.0
8,E-17,14.0
9,B-17,16.0
10,E-17,18.0
11,B-17,20.0
12,E-17,22.0
13,B-17,24.0
14,E-17,26.0
15,B-17,28.0
16,E-17,30.0
17,B-17,32.0
18,E-17,34.0
19,B-17,36.0
