Measure,SanmaSamba,chord_note,Time
2,Dmin7,D,2.0
3,Bb7,Bb,4.0
4,Dmin7,D,6.0
5,Bb7,Bb,8.0
6,Amin7,A,10.0
7,D7,D,12.0
8,Bb7,Bb,14.0
9,Dbmaj7,Db,16.0
9,Ebmaj7,Eb,17.0
10,Dmin7,D,18.0
11,Bb7,Bb,20.0
12,Dmin7,D,22.0
13,Bb7,Bb,24.0
14,Amin7,A,26.0
15,D7,D,28.0
16,G7,G,30.0
17,Dbma7,Db,32.0
17,Ebma7,Eb,33.0
