Measure,Horace,chord_note,Time
1,Dmin7,D,0.0
2,Dmin7,D,2.0
3,Dmin7,D,4.0
4,G9,G,6.0
5,G9,G,8.0
6,Dmin7,D,10.0
7,Dmin7,D,12.0
9,G9,G,16.0
9,F9,F,17.0
10,Emin7,E,18.0
10,Dmin7,D,19.0
11,C,C,20.0
13,G9,G,24.0
13,F9,F,25.0
14,Emin7,E,26.0
14,Dmin7,D,27.0
15,Cmin7,C,28.0
15,F7,F,29.0
16,Dmin7/A,D,30.0
17,G9,G,32.0
17,F9,F,33.0
18,Emin7,E,34.0
18,Dmin7,D,35.0
19,C,C,36.0
21,G9,G,40.0
21,F9,F,41.0
22,Emin7,E,42.0
22,Dmin7,D,43.0
23,Cmin7,C,44.0
23,F7,F,45.0
24,Dmin7/A,D,46.0
25,G9,G,48.0
26,G9,G,50.0
27,C7,C,52.0
28,Bb7,Bb,54.0
29,E,E,56.0
30,Eb,Eb,58.0
30,F7,F,59.0
31,A7,A,60.0
32,Bb7,Bb,62.0
33,Dmin7,D,64.0
34,Cmin7,C,66.0
34,F,F,67.0
35,F9,F,68.0
36,Cmin7,C,70.0
36,F,F,71.0
37,F9,F,72.0
38,Dmaj,D,74.0
39,Fmaj,F,76.0
