Measure,PastorT,chord_note,Time
2,Amin7,A,3.0
2,Gmin7,G,4.5
34,Dmin7,D,99.0
35,D,D,102.0
36,Cmin7,C,105.0
37,Ebmin7,Eb,108.0
38,Dmin7,D,111.0
39,D,D,114.0
40,Cmin7,C,117.0
41,Ebmin7,Eb,120.0
42,Gmin7,G,123.0
43,Amin7,A,126.0
44,Gmin7,G,129.0
45,Amin7,A,132.0
46,Dmin7,D,135.0
47,D,D,138.0
48,Cmin7,C,141.0
48,Ebmin7,Eb,142.5
50,Amin7,A,147.0
52,Amin7,A,153.0
