Measure,StickyJuly,chord_note,Time
1,F#min7,F#,0.0
1,Bmin7,B,1.0
2,A7,A,2.0
2,Dmaj7,D,3.0
3,A6/9(09),A,4.0
3,Dmaj7,D,5.0
4,A9,A,6.0
4,Dmaj7,D,7.0
5,F#min7,F#,8.0
5,Bmin7,B,9.0
6,A7,A,10.0
6,Dmaj7,D,11.0
7,A6/9(09),A,12.0
7,Dmaj7,D,13.0
8,A9,A,14.0
8,Dmaj7,D,15.0
9,Bmaj7,B,16.0
10,Emin7,E,18.0
11,G#min7,G#,20.0
12,A7,A,22.0
13,Dmaj7,D,24.0
14,C#7,C#,26.0
15,C7,C,28.0
16,Bmaj7,B,30.0
17,Emin7,E,32.0
18,G#min7,G#,34.0
19,A7,A,36.0
20,Dmaj7,D,38.0
21,C#7,C#,40.0
22,C7,C,42.0
23,C7,C,44.0
