Measure,ImNotSoSure,Time
1,G7,0.0
1,A-17,0.5
1,A7,1.0
1,B-17,1.5
2,E-17,2.0
5,G7,8.0
5,A-17,8.5
5,A7,9.0
5,B-17,9.5
6,E-17,10.0
9,G7,16.0
9,A-17,16.5
9,A7,17.0
9,B-17,17.5
10,E-17,18.0
13,G7,24.0
13,A-17,24.5
13,A7,25.0
13,B-17,25.5
14,E-17,26.0
17,G7,32.0
17,A-17,32.5
17,A7,33.0
17,B-17,33.5
18,E-17,34.0
21,G7,40.0
21,A-17,40.5
21,A7,41.0
21,B-17,41.5
22,E-17,42.0
22,G-17,43.0
24,F7,46.0
24,B-17,46.666666666666664
24,E-17,47.333333333333336
26,E-17,50.0
26,D-1min7,51.0
27,G-17,52.0
28,F7,54.0
28,B-17,55.0
29,D-17,56.0
31,D7,60.0
33,E-17,64.0
35,E7,68.0
36,G7,70.0
36,A-17,70.5
36,A7,71.0
36,B-17,71.5
