Measure,WoodyNYou,chord_note,Time
1,Gmin7(b5),G,0.0
2,C7(#9),C,2.0
3,Fmin7(b5),F,4.0
4,Bb7(#9),Bb,6.0
5,Ebmin7(b5),Eb,8.0
6,Ab7,Ab,10.0
7,Dbmaj7,Db,12.0
7,Ab7,Ab,13.0
8,Db6,Db,14.0
9,Abmin7,Ab,16.0
9,Db7,Db,17.0
10,Abmin7,Ab,18.0
10,Db7,Db,19.0
11,Abmin7,Ab,20.0
11,Db7,Db,21.0
12,Gbmaj7,Gb,22.0
13,Bbmin7,Bb,24.0
13,Eb7,Eb,25.0
14,Bbmin7,Bb,26.0
14,Eb7,Eb,27.0
15,Bbmin7,Bb,28.0
15,Eb7,Eb,29.0
16,Abmaj7,Ab,30.0
17,Gmin7(b5),G,32.0
18,C7(#9),C,34.0
19,Fmin7(b5),F,36.0
20,Bb7(#9),Bb,38.0
21,Ebmin7(b5),Eb,40.0
22,Ab7(#9),Ab,42.0
23,Dbmaj7,Db,44.0
23,Ab7,Ab,45.0
24,Dbmaj6,Db,46.0
