Measure,SummertimeTraneC,chord_note,Time
1,A7(b9),A,0.0
5,Bb7,Bb,8.0
7,Eb7,Eb,12.0
9,A7,A,16.0
12,A7,A,22.0
12,C7,C,23.0
13,Fmaj,F,24.0
13,Dmin7,D,25.0
14,Edim,E,26.0
14,A7,A,27.0
15,Dmin7,D,28.0
16,Bb7,Bb,30.0
17,Dmin7,D,32.0
18,Bb7,Bb,34.0
19,Dmin7,D,36.0
20,Bb7,Bb,38.0
21,Dmin7,D,40.0
22,Edim,E,42.0
22,A7,A,43.0
