Measure,Liberia,chord_note,Time
1,Fmin,F,0.0
2,Cmin,C,2.0
3,Fmin,F,4.0
4,Cmin,C,6.0
5,Fmin,F,8.0
6,Cmin,C,10.0
7,Dmin7,D,12.0
7,G7,G,13.0
8,Cmin7,C,14.0
9,D7,D,16.0
10,D7,D,18.0
11,D7,D,20.0
12,D7,D,22.0
13,D7,D,24.0
14,D7,D,26.0
15,D7,D,28.0
16,D7,D,30.0
17,D,D,32.0
18,D7,D,34.0
19,D7,D,36.0
20,D7,D,38.0
21,D7,D,40.0
22,D7,D,42.0
23,D7,D,44.0
24,D7,D,46.0
25,Fmin,F,48.0
26,Cmin,C,50.0
27,Fmin,F,52.0
28,Cmin7,C,54.0
29,Fmin7,F,56.0
30,Cmin7,C,58.0
31,Dmin7,D,60.0
31,G7,G,61.0
32,Cmin7,C,62.0
35,Eb7,Eb,68.0
37,Abmin7,Ab,72.0
39,B7,B,76.0
41,Emin7,E,80.0
43,G7,G,84.0
45,F7,F,88.0
