Measure,StormyMonday,chord_note,Time
1,G9,G,0.0
1,Ab9,Ab,1.5
2,G9,G,3.0
2,G,G,4.5
3,D,D,6.0
4,G9,G,9.0
5,C9,C,12.0
6,G9,G,15.0
6,Ab9,Ab,16.5
7,G9,G,18.0
8,C9,C,21.0
9,C#dim7,C#,24.0
10,G9,G,27.0
10,Amin7,A,28.5
11,Bmin7,B,30.0
11,Bbmin7,Bb,31.5
12,D9,D,33.0
13,Eb9,Eb,36.0
13,D9,D,37.5
14,G7,G,39.0
14,C9,C,40.5
15,G9,G,42.0
15,Daugmented,D,43.5
16,C9,C,45.0
16,G,G,46.5
17,G7,G,48.0
17,C9,C,49.5
18,G7,G,51.0
18,Ab7,Ab,52.0
18,G9,G,53.0
