Measure,SourceThe,chord_note,Time
1,B13,B,0.0
2,B13,B,2.0
10,Bmin13,B,18.0
11,C#min13,C#,20.0
12,Dmin13,D,22.0
13,Emin13,E,24.0
14,B7,B,26.0
18,Dmaj7,D,34.0
19,Cmaj7,C,36.0
20,G/Bb,G,38.0
20,Amaj7,A,39.0
22,Dmaj7,D,42.0
23,Cmaj7,C,44.0
24,G/Bb,G,46.0
24,Bmaj7,B,47.0
26,B13,B,50.0
34,Bmin13,B,66.0
35,C#min13,C#,68.0
36,Dmin13,D,70.0
37,Emin13,E,72.0
38,B13,B,74.0
40,B13,B,78.0
42,Dmaj7,D,82.0
43,Cmaj7,C,84.0
44,G/Bb,G,86.0
45,Amaj7,A,88.0
46,Dmaj7,D,90.0
47,Cmaj7,C,92.0
48,G/Bb,G,94.0
49,Bmaj7,B,96.0
50,B13,B,98.0
54,E13,E,106.0
56,B13,B,110.0
58,E13,E,114.0
59,D13,D,116.0
60,B13,B,118.0
62,D#min7,D#,122.0
62,Cmaj7,C,123.0
63,G#min7,G#,124.0
63,G7,G,125.0
64,Emin11,E,126.0
65,Ebmaj7,Eb,128.0
65,Dmaj7,D,129.0
66,D#min7,D#,130.0
66,Cmaj7,C,131.0
67,D#min7,D#,132.0
67,Ebmaj7,Eb,133.0
68,Cmaj7,C,134.0
69,Bbmaj7,Bb,136.0
70,Emin,E,138.0
70,F,F,139.0
71,Emin,E,140.0
72,Ddim,D,142.0
72,Ebmaj,Eb,142.66666666666666
72,Ddim7,D,143.33333333333334
74,D#min7,D#,146.0
74,Cmaj7,C,147.0
75,G#min7,G#,148.0
75,G7,G,149.0
76,Ebmaj7,Eb,150.0
76,Cmaj7,C,151.0
78,Fmaj7,F,154.0
79,Ebmaj7,Eb,156.0
80,Ab/B,Ab,158.0
81,Cmaj7,C,160.0
82,Ebmaj7,Eb,162.0
83,Dbmaj7,Db,164.0
84,Ab/B,Ab,166.0
84,Cmaj7,C,167.0
