Measure,Scrapple From the Apple,chord_note,Time
9,Gmin7,G,16.0
10,C7,C,18.0
11,Gmin7,G,20.0
12,C7,C,22.0
13,Fmaj7,F,24.0
13,F7,F,25.0
14,Bbmaj7,Bb,26.0
14,Bdim7,B,27.0
15,Fmaj7,F,28.0
15,Gmin7,G,29.0
16,Amin7,A,30.0
16,D7,D,31.0
17,Fmaj7,F,32.0
18,A7,A,34.0
19,A7,A,36.0
20,D7,D,38.0
21,D7,D,40.0
22,G7,G,42.0
23,G7,G,44.0
24,C7,C,46.0
25,C7,C,48.0
26,Gmin7,G,50.0
27,C7,C,52.0
28,Gmin7,G,54.0
29,C7,C,56.0
30,Fmaj7,F,58.0
30,F7,F,59.0
31,Bbmaj7,Bb,60.0
31,Bdim7,B,61.0
32,Fmaj7,F,62.0
32,Gmin7,G,63.0
33,Fmaj7,F,64.0
