Measure,Lotus Blossom,chord_note,Time
1,Dmin7,D,0.0
1,C7,C,0.6666666666666666
1,Dmin7,D,1.3333333333333333
2,Dmin7,D,2.0
3,Cmin7,C,4.0
3,F7,F,4.666666666666667
3,Bbmaj7,Bb,5.333333333333333
4,Bbmaj7,Bb,6.0
5,Bmin,B,8.0
5,B7,B,8.666666666666666
5,A7,A,9.333333333333334
7,Dmin7,D,12.0
7,C7,C,13.0
8,Emin7,E,14.0
8,A7,A,15.0
11,Amin7,A,20.0
12,D7,D,22.0
13,Gmin7,G,24.0
15,Gmin,G,28.0
16,C7,C,30.0
17,Fmaj7,F,32.0
18,Emin7,E,34.0
18,A7,A,35.0
19,Dmin7,D,36.0
19,C7,C,36.666666666666664
19,Dmin7,D,37.333333333333336
21,C7,C,40.0
21,F7,F,40.666666666666664
21,Bbmaj7,Bb,41.333333333333336
23,Bmin7,B,44.0
23,Bb7,Bb,44.666666666666664
23,A7,A,45.333333333333336
24,Dmin7,D,46.0
25,C,C,48.0
