Measure,WithoutYou,chord_note,Time
2,Cmin7,C,2.0
3,F7(#9),F,4.0
4,Bbmin7,Bb,6.0
5,Cmaj7,C,8.0
6,Dmin7,D,10.0
6,G7,G,11.0
7,Emin7,E,12.0
7,A7,A,13.0
8,Dmin7,D,14.0
8,G7,G,15.0
9,Cmaj9,C,16.0
10,Abmaj13,Ab,18.0
11,Bmin9,B,20.0
12,Ebmaj7,Eb,22.0
13,Abmaj7,Ab,24.0
14,Emaj7,E,26.0
15,F#min7,F#,28.0
15,B7,B,29.0
16,Emin7,E,30.0
16,A7,A,31.0
17,Dmaj7,D,32.0
17,G7,G,33.0
18,Cmin7,C,34.0
19,F7,F,36.0
20,Bbmin7,Bb,38.0
21,Cmaj7,C,40.0
22,Fmin7,F,42.0
23,Bbmaj7,Bb,44.0
24,Ebmaj,Eb,46.0
25,Abmaj7,Ab,48.0
26,Dmin7,D,50.0
27,G7(#9),G,52.0
28,Cmaj7,C,54.0
29,Cmaj13(#11),C,56.0
