Measure,Groovy Samba,chord_note,Time
2,Gmin7,G,2.0
3,Ab7,Ab,4.0
4,Gmin7,G,6.0
5,Gmin7,G,8.0
6,Adim7,A,10.0
7,Daugmented-seventh,D,12.0
8,Gmin7,G,14.0
9,Amin7,A,16.0
9,D7,D,17.0
10,Gmin7,G,18.0
11,Cmin,C,20.0
12,F7,F,22.0
13,Bbmaj7,Bb,24.0
14,Bbmaj7,Bb,26.0
15,C#min7,C#,28.0
16,F#7,F#,30.0
17,Bmaj7,B,32.0
18,A7,A,34.0
18,D7,D,35.0
19,Gmin7,G,36.0
20,Ab7,Ab,38.0
21,Gmin7,G,40.0
22,Gmin7,G,42.0
23,A7,A,44.0
24,D7,D,46.0
25,Gmin7,G,48.0
26,Gmin6,G,50.0
