Measure,Blue Juice,chord_note,Time
10,C9,C,18.0
11,C9,C,20.0
12,C9,C,22.0
13,C9,C,24.0
14,F9,F,26.0
15,F9,F,28.0
16,C9,C,30.0
17,C9,C,32.0
18,G9,G,34.0
19,F9,F,36.0
19,Eb,Eb,37.0
20,C9,C,38.0
22,C9,C,42.0
