Measure,betty1,Time
1,B-1min7,0.0
2,Bmin7,2.0
2,E7,3.0
3,B-1min9,4.0
4,Bmin,6.0
4,E7,7.0
5,Amaj9,8.0
6,A-17,10.0
7,Gmaj7,12.0
8,G-17,14.0
8,G-17,15.0
9,G-1min7,16.0
10,Gmin7,18.0
10,C7,19.0
11,G-1min7,20.0
12,Gmin7,22.0
12,C7,23.0
13,Fmaj7,24.0
14,A7,26.0
15,Dmin7,28.0
16,G7,30.0
16,Cmin13,31.0
17,Cmin7,32.0
18,F7,34.0
19,Amin7,36.0
19,D7,37.0
20,Gmin7,38.0
21,Emin7,40.0
21,A7,41.0
22,A7,42.0
23,Fmin7,44.0
24,B-17,46.0
24,Amin7,47.0
25,B-1min7,48.0
26,Bmin7,50.0
26,E7,51.0
27,B-1min7,52.0
28,Bmin7,54.0
28,E7,55.0
29,Cmin7,56.0
30,F7,58.0
31,B-1min7,60.0
32,E-17,62.0
33,A-1maj7,64.0
34,Bmin7,66.0
34,E7,67.0
37,B-1min7,72.0
38,Bmin7,74.0
38,E7,75.0
39,B-1min7,76.0
40,Bmin7,78.0
40,E7,79.0
41,Amaj7,80.0
42,A-17,82.0
43,Gmaj7,84.0
44,G-19,86.0
45,G-1min7,88.0
46,Gmin7,90.0
46,C7,91.0
47,G-1min7,92.0
48,Gmin7,94.0
48,C7,95.0
49,Fmaj7,96.0
50,A7,98.0
51,Dmin7,100.0
52,G7,102.0
52,Cmin,103.0
53,E-19,104.0
54,A-1maj13,106.0
