Measure,are you real,chord_note,Time
1,Dmin7,D,0.0
1,G7,G,1.0
2,Cmin7,C,2.0
3,F7,F,4.0
4,Bbmaj7,Bb,6.0
5,Ebmaj7,Eb,8.0
6,Amin7,A,10.0
7,D7(#9),D,12.0
8,Gmin7,G,14.0
9,C7,C,16.0
10,F#min7,F#,18.0
10,B7,B,19.0
11,Fmin7,F,20.0
11,Bb7,Bb,21.0
12,Dmin7,D,22.0
12,G7,G,23.0
13,Db7,Db,24.0
13,C7,C,25.0
14,Fmin7,F,26.0
15,Bb7,Bb,28.0
16,Ebmaj7,Eb,30.0
17,Dmin7,D,32.0
17,G7,G,33.0
18,Fmin7,F,34.0
19,Bb7,Bb,36.0
20,Gmin7,G,38.0
21,C7(#9),C,40.0
22,F#7,F#,42.0
22,B7,B,43.0
23,Fmin7,F,44.0
23,Bb7,Bb,45.0
24,Ebmaj7,Eb,46.0
25,Dmin7,D,48.0
25,G7,G,49.0
