Measure,TakeMeThere,chord_note,Time
1,Cmin9,C,0.0
2,Dmin7,D,2.0
3,Ebmaj9,Eb,4.0
4,Dmin7,D,6.0
4,G7,G,7.0
6,Cmin7,C,10.0
7,Dmin7,D,12.0
8,Ebmaj7,Eb,14.0
9,Dmin7,D,16.0
9,G9,G,17.0
10,Cmin7,C,18.0
11,Dmin7,D,20.0
12,G9,G,22.0
13,G9,G,24.0
14,Cmaj9,C,26.0
15,C7,C,28.0
16,Cmaj9,C,30.0
17,C7(#11),C,32.0
18,Fmaj7,F,34.0
19,E7,E,36.0
20,Amin7,A,38.0
21,D9,D,40.0
22,Ebmaj7,Eb,42.0
24,Dmin7,D,46.0
25,G7,G,48.0
26,Dmin7,D,50.0
27,Cmin7,C,52.0
28,F7,F,54.0
29,Cmin7,C,56.0
30,F7,F,58.0
30,Bmin7,B,59.0
31,Bbmin7,Bb,60.0
32,Eb9,Eb,62.0
33,Abmaj7,Ab,64.0
34,Db9,Db,66.0
