Measure,CrossRiver,Time
1,C#min11,0.0
2,F#min9,2.0
3,C#min11,4.0
4,F#min9,6.0
5,C#min11,8.0
6,F#min9,10.0
7,C#min11,12.0
8,Bsus,14.0
9,Amaj7,16.0
10,Emaj7,18.0
11,Amaj7,20.0
12,Emaj7,22.0
13,F#min9,24.0
14,A#min9,26.0
15,F#min9,28.0
16,A#min9,30.0
