Measure,SoulVillage,chord_note,Time
1,Fmin7,F,0.0
2,Gmin7,G,2.0
3,Cmin7,C,4.0
5,Fmin7,F,8.0
6,Gmin7,G,10.0
7,Cmin7,C,12.0
9,Fmin7,F,16.0
10,Gmin7,G,18.0
11,Gmin7,G,20.0
11,Gbdim7,Gb,21.0
12,Fmin7,F,22.0
12,Cmin7,C,23.0
13,Gmin7,G,24.0
13,Gbdim7,Gb,25.0
14,Fmin7,F,26.0
14,Cmin7,C,27.0
15,Cmin7,C,28.0
20,Cmin7,C,38.0
23,Cmin7,C,44.0
31,Fmin7,F,60.0
32,Gmin7,G,62.0
33,Cmin7,C,64.0
35,Fmin7,F,68.0
36,Gmin7,G,70.0
37,Cmin7,C,72.0
39,Fmin7,F,76.0
40,Gmin,G,78.0
41,Gmin7,G,80.0
41,Gbdim7,Gb,81.0
42,Fmin7,F,82.0
42,Cmin7,C,83.0
43,Gmin7,G,84.0
43,Gbdim7,Gb,85.0
44,Fmin7,F,86.0
44,Cmin7,C,87.0
