Measure,728,Time
2,F7,2.0
4,D-17,6.0
4,C7,7.0
5,F7,8.0
5,C7,9.0
6,F7,10.0
8,D-17,14.0
9,C7,16.0
10,F7,18.0
12,D-17,22.0
12,C7,23.0
13,F7,24.0
13,F7,25.0
14,B-1min7,26.0
14,E-17,27.0
15,A-1min7,28.0
15,D-17,29.0
16,Gmin7,30.0
16,C7,31.0
17,F7,32.0
