Measure,Pass the Peas,chord_note,Time
2,D9,D,2.0
3,D9,D,4.0
4,D9,D,6.0
5,D9,D,8.0
6,G7,G,10.0
7,G7,G,12.0
8,D9,D,14.0
9,D9,D,16.0
10,A7,A,18.0
11,G7,G,20.0
12,D9,D,22.0
13,D9,D,24.0
15,A7,A,28.0
18,D9,D,34.0
19,D9,D,36.0
20,D9,D,38.0
21,D9,D,40.0
