Measure,Mr,chord_note,Time
1,Eb7,Eb,0.0
2,Ab7,Ab,1.5
3,Eb7,Eb,3.0
4,Bb7,Bb,4.5
5,Eb7,Eb,6.0
6,Ab7,Ab,7.5
7,Eb7,Eb,9.0
9,Ab7,Ab,12.0
10,Ebmin7,Eb,13.5
11,Ab7,Ab,15.0
13,Eb7,Eb,18.0
14,Fmin7,F,19.5
15,Gbmaj7,Gb,21.0
16,C7,C,22.5
17,F7,F,24.0
19,E7,E,27.0
21,Eb7,Eb,30.0
22,Cmin7,C,31.5
23,F7,F,33.0
24,Bb7,Bb,34.5
25,Eb7,Eb,36.0
