Measure,DukesTheme,chord_note,Time
26,Db,Db,75.0
27,Bbmin7,Bb,78.0
27,Eb/Bb,Eb,79.0
27,Bbmin7,Bb,80.0
29,Bbmin7,Bb,84.0
29,Eb/Bb,Eb,85.0
29,Bbmin7,Bb,86.0
31,Bbmin7,Bb,90.0
31,Eb/Bb,Eb,91.0
31,Bbmin7,Bb,92.0
33,F,F,96.0
33,Gmin7,G,97.5
34,Abmin,Ab,99.0
34,A,A,100.0
34,Bbmin7,Bb,101.0
35,Eb/Bb,Eb,102.0
35,Bbmin7,Bb,103.5
36,Db,Db,105.0
37,Db,Db,108.0
38,Gb,Gb,111.0
39,Gb,Gb,114.0
40,F,F,117.0
41,Bbmin7,Bb,120.0
41,Eb/Bb,Eb,121.0
41,Bbmin7,Bb,122.0
42,Db,Db,123.0
