Measure,BlackwidowBlues,chord_note,Time
1,Bmin7,B,0.0
1,Cmaj7,C,1.0
2,Bmin7,B,2.0
2,Cmaj7(#11),C,3.0
3,Bmin7,B,4.0
3,Cmaj7,C,5.0
4,Bmin7,B,6.0
4,Cmaj7,C,7.0
5,Bmin7,B,8.0
5,Cmaj7,C,9.0
14,Bmin7,B,26.0
14,Cmaj7,C,27.0
15,Bmin7,B,28.0
15,Cmaj7,C,29.0
