Measure,Desafinado,Time
1,Fmaj7,0.0
3,G7,4.0
5,Gmin7,8.0
6,C7,10.0
7,Aminor-seventh,12.0
8,D7,14.0
9,Gmin7,16.0
10,A7,18.0
11,D7,20.0
12,D7,22.0
13,G7,24.0
15,G-1maj7,28.0
16,C7,30.0
17,Gmin7,32.0
18,B-1min6,34.0
19,Fmaj7,36.0
20,Bmin7,38.0
20,E7,39.0
21,Amaj7,40.0
22,B-1dim7,42.0
23,Bmin7,44.0
24,E7,46.0
25,Amaj7,48.0
26,B-1dim7,50.0
27,Bmin7,52.0
28,E7,54.0
29,Amaj7,56.0
30,F1min7,58.0
31,Bmin7,60.0
32,E7,62.0
33,Cmaj7,64.0
34,C1dim7,66.0
35,Dmin7,68.0
36,G7,70.0
37,Gmin7,72.0
38,D7,74.0
39,G7,76.0
40,C7,78.0
41,Fmaj7,80.0
43,G7,84.0
45,Gmin7,88.0
46,C7,90.0
47,Amin7,92.0
48,D7,94.0
49,Gmin7,96.0
50,B-1min6,98.0
51,Fmaj7,100.0
52,Dmin7,102.0
53,G7,104.0
55,B-1min7,108.0
56,E-17,110.0
57,G7,112.0
58,Gmin7,114.0
58,C7,115.0
59,Fmaj6,116.0
60,C7,118.0
