Measure,"Weasil, The",chord_note,Time
2,C7(#9),C,2.0
4,C7(#9),C,6.0
6,Eb7(#9),Eb,10.0
8,C7(#9),C,14.0
10,D7(#9),D,18.0
11,E7(#9),E,20.0
12,C7(#9),C,22.0
