Measure,Outro_Transcription,chord_note,Time
1,C,C,0.0
1,C#,C#,0.5
1,D,D,1.0
1,E,E,1.5
2,F,F,2.0
2,F,F,2.3333333333333335
2,E,E,2.6666666666666665
2,Eb,Eb,3.0
2,D,D,3.333333333333333
2,Db,Db,3.6666666666666665
3,C,C,4.0
3,C#,C#,4.5
3,D,D,5.0
3,E,E,5.5
4,F,F,6.0
5,C,C,8.0
5,C#,C#,8.5
5,D,D,9.0
5,E,E,9.5
6,F,F,10.0
6,E,E,10.4
6,Eb,Eb,10.8
6,D,D,11.2
6,Db,Db,11.6
7,C,C,12.0
7,Bb,Bb,12.666666666666666
7,A,A,13.333333333333334
8,A,A,14.0
9,D,D,16.0
9,D#,D#,16.5
9,E,E,17.0
9,F,F,17.5
10,F,F,18.0
11,G,G,20.0
