Measure,YoungRabbitsThe,chord_note,Time
9,Gmin7,G,16.0
15,Fmin9,F,28.0
17,Gmin7,G,32.0
23,Fmin7,F,44.0
25,Bmin7,B,48.0
27,Gbmin9,Gb,52.0
29,Ebmin9,Eb,56.0
31,Emin9,E,60.0
33,Gmin7,G,64.0
39,Fmin7,F,76.0
