Measure,Goodbye Pork Pie,chord_note,Time
2,Eb7,Eb,2.0
2,B7,B,3.0
3,Emaj7,E,4.0
3,A7,A,5.0
4,Db7,Db,6.0
4,B7,B,7.0
5,Db7,Db,8.0
5,Eb7,Eb,9.0
6,Abmin7,Ab,10.0
6,B7,B,11.0
7,Fmin7,F,12.0
7,Bb7,Bb,13.0
8,C7,C,14.0
8,F7,F,15.0
9,B7,B,16.0
9,Emaj7,E,17.0
10,A7,A,18.0
10,Ab7,Ab,19.0
11,Bb7,Bb,20.0
11,Db7,Db,21.0
12,Eb7,Eb,22.0
12,B7,B,23.0
13,Emaj7,E,24.0
13,A7,A,25.0
14,Eb7,Eb,26.0
14,B7,B,27.0
15,Emaj7,E,28.0
15,A7,A,29.0
16,Db7,Db,30.0
16,B7,B,31.0
17,Db7,Db,32.0
17,Eb7,Eb,33.0
18,Abmin7,Ab,34.0
18,B7,B,35.0
19,Fmin7,F,36.0
19,Bb7,Bb,37.0
20,C7,C,38.0
20,F7,F,39.0
21,B7,B,40.0
21,Emaj7,E,41.0
22,A7,A,42.0
22,Ab7,Ab,43.0
23,Bb7,Bb,44.0
23,Db7,Db,45.0
24,Eb7,Eb,46.0
24,B7,B,47.0
25,Emaj7,E,48.0
25,A7,A,49.0
