Measure,FlyMeToTheMoon,chord_note,Time
1,Amin7,A,0.0
2,Dmin7,D,2.0
3,G7,G,4.0
4,Cmaj7,C,6.0
4,C7,C,7.0
5,Fmaj7,F,8.0
6,Bminor-seventh(b5),B,10.0
7,E7,E,12.0
8,Amin7,A,14.0
8,A7,A,15.0
9,Dmin7,D,16.0
10,G7,G,18.0
11,Cmaj7,C,20.0
12,Emin7,E,22.0
12,A7,A,23.0
13,Dmin7,D,24.0
14,G7,G,26.0
15,Cmaj7,C,28.0
16,Bminor-seventh(b5),B,30.0
16,E7,E,31.0
17,Amin7,A,32.0
18,Dmin7,D,34.0
19,G7,G,36.0
20,Cmaj7,C,38.0
20,C7,C,39.0
21,Fmaj7,F,40.0
22,Bminor-seventh(b5),B,42.0
23,E7,E,44.0
24,Amin7,A,46.0
24,A7,A,47.0
25,Dmin7,D,48.0
26,G7,G,50.0
27,Emin7,E,52.0
28,A7,A,54.0
29,Dmin7,D,56.0
30,G7,G,58.0
31,Cmaj7,C,60.0
32,Bminor-seventh(b5),B,62.0
32,E7,E,63.0
33,Emin7,E,64.0
34,A,A,66.0
35,Dmin7,D,68.0
36,G7,G,70.0
37,Cmaj7,C,72.0
