Measure,Velocity,chord_note,Time
2,Fmin7,F,2.0
3,Fmin7,F,4.0
5,Fmin7,F,8.0
6,Bbmin7,Bb,10.0
7,Bbmin,Bb,12.0
8,Bbmin7,Bb,14.0
9,Emin7,E,16.0
9,A7,A,17.0
10,Dmin7,D,18.0
11,C7,C,20.0
12,Cmin7,C,22.0
13,F7,F,24.0
14,Bb13,Bb,26.0
15,Bb13,Bb,28.0
16,A13,A,30.0
18,Ab13,Ab,34.0
20,G13,G,38.0
22,Bbmin7,Bb,42.0
22,Eb7,Eb,43.0
23,Bmin7,B,44.0
23,E7,E,45.0
24,Abmin7,Ab,46.0
24,Db7,Db,47.0
25,Amin7,A,48.0
25,D7,D,49.0
26,F#min7,F#,50.0
26,B7,B,51.0
27,Gmin7,G,52.0
27,C7,C,53.0
30,Gmin,G,58.0
