Measure,1612,chord_note,Time
3,C,C,4.0
4,F,F,6.0
5,G,G,8.0
6,F9,F,10.0
7,G,G,12.0
8,F9,F,14.0
9,G,G,16.0
10,F9,F,18.0
11,C,C,20.0
12,F,F,22.0
13,C,C,24.0
14,F9,F,26.0
15,G,G,28.0
16,F9,F,30.0
17,G,G,32.0
18,F9,F,34.0
19,G,G,36.0
20,F9,F,38.0
21,C,C,40.0
22,F,F,42.0
23,C,C,44.0
24,F9,F,46.0
25,C,C,48.0
26,F,F,50.0
27,C,C,52.0
28,F9,F,54.0
29,E7,E,56.0
30,Amin7,A,58.0
31,D7,D,60.0
32,F9,F,62.0
33,G6,G,64.0
38,C,C,74.0
39,F,F,76.0
40,C,C,78.0
41,F9,F,80.0
