Measure,HideNSeek,chord_note,Time
1,B7(#9),B,0.0
9,E7(#9),E,16.0
13,B7(#9),B,24.0
17,F#7(#9),F#,32.0
21,E7(#9),E,40.0
25,B7(#9),B,48.0
