Measure,Yeah You Right,chord_note,Time
1,C7,C,0.0
30,Db,Db,58.0
31,Eb,Eb,60.0
32,F,F,62.0
33,F,F,64.0
34,Ab,Ab,66.0
35,Bb,Bb,68.0
36,C,C,70.0
37,C,C,72.0
38,C,C,74.0
39,C,C,76.0
40,C,C,78.0
