Measure,Soulville,Time
1,B-1,0.0
34,B-1min7,66.0
35,E-1min7,68.0
36,B-1min7,70.0
37,B-17,72.0
38,E-1min7,74.0
39,E-1min7,76.0
40,B-1min7,78.0
41,B-1min9,80.0
42,Cmin7,82.0
43,F7,84.0
44,B-1min7,86.0
44,Gmin7,87.0
45,Cmin7,88.0
45,F7,89.0
46,B-1,90.0
59,B-1min6,116.0
