Measure,gonehomeC#,Time
8,D7,14.0
8,D-17,15.0
9,D7,16.0
10,D-17,18.0
11,D7,20.0
12,D-17,22.0
13,D7,24.0
14,D-17,26.0
15,D-17,28.0
16,A-17,30.0
16,D-1,31.0
18,D-17,34.0
